# No    Ref    V       B-V     U-B     N
 0189    92  15.290   0.685   0.375    1
 0190    92  12.930   0.805   0.390    1
 0191    92  14.680   0.675   0.080    1
 0194    92  12.920   0.745   0.080    1
 0195    92  13.350   0.800   0.300    1
 0196    92  14.500   1.015   0.850    1
 0197    92  12.860   0.720   0.080    2
 0198    92  14.080   0.915   0.260    1
 0199    92  13.780   0.830   0.320    1
 0200    92  13.090   0.700   0.100    1
 0201    92  14.530   0.800   0.260    1
 0202    92  14.270   0.770   0.150    1
 0203    92  13.830   0.760   0.200    2
 0205    92  12.230   0.425   0.195    1
 0206    92   9.530   0.100   0.020    2
 0206   518   9.510   0.080   0.050    4
 0207    92  14.800   0.590   0.055    2
 0208   440   8.350   0.030  -0.340    2
 0208   518   8.360   0.020  -0.320    4
 0208  1382   8.330   0.010  -0.340    3
 0209   440   8.850   0.070  -0.310    2
 0209   518   8.780   0.090  -0.250    4
 0209  1382   8.800   0.080  -0.250    3
 0210   518   8.020  -0.020  -0.270    4
 0213  1852  11.420   0.460   0.050    2
 0214   518  13.210   1.430   1.580    3
 0215   518  13.140   0.760   0.180    3
 0216   518  14.390   1.520   1.790    4
 0217   518  13.320   1.240   1.110    5
 0218   518  14.060   0.640  -0.010    3
 0219   518  15.340   0.580   0.030    4
 0220   518  13.000   0.630   0.010    3
 0221   518  12.090   0.670   0.150    3
 0222   518  11.960   0.510   0.030    3
 0223   518  13.980   0.880   0.300    3
 0224   518   5.780   0.400   0.020    3
 0224  1091   5.780   0.420     -      3
 0224  1383   5.770   0.420     -      4
 0225   518   6.730   1.240   1.160    2
 0225   658   6.730   1.240     -      4
 0225  1091   6.720   1.240     -      3
 0225  1383   6.710   1.240     -      4
 0226   518   7.850   0.010  -0.150    3
 0227   518  11.180   0.450   0.250    3
 0228   518  10.930   0.470   0.130    3
 0229   518  10.470   0.210   0.150    3
 0230   518   9.380   0.020  -0.070    6
