# VI-Cousins CCD observations
#  No    Ref    V       V-I
 3208   299  16.983   0.758
 3209   298  15.285   0.863
 3209   299  15.369   0.858
 3210   298  14.398   1.341
 3210   299  14.441   1.336
 3213   298  14.903   1.182
 3213   299  14.993   1.141
 3215   298  16.761   0.787
 3215   299  16.844   0.810
 3216   298  16.002   1.257
 3216   299  16.100   1.261
 3217   298  16.266   0.943
 3217   299  16.366   0.973
 3218   298  15.974   0.952
 3218   299  16.066   0.891
 3219   298  16.427   1.281
 3219   299  16.544   1.283
 3220   298  16.045   1.735
 3220   299  16.165   1.682
 3221   298  16.758   1.125
 3221   299  16.862   1.111
 3222   298  14.870   1.186
 3222   299  14.974   1.198
 3223   298  16.820   1.572
 3223   299  16.919   1.573
 3224   298  16.092   0.977
 3224   299  16.200   0.982
 3225   298  16.548   2.309
 3225   299  16.563   1.708
 3226   299  16.309   1.003
 3227   298  16.252   1.174
 3227   299  16.352   1.193
 3228   298  16.395   1.014
 3228   299  16.492   1.006
 3229   298  16.738   0.925
 3229   299  16.869   0.960
 3230   298  15.617   0.996
 3230   299  15.705   0.994
 3231   298  14.816   1.059
 3231   299  14.926   1.072
 3232   299  16.848   1.036
 3233   298  14.279   0.888
 3233   299  14.359   0.883
 3234   298  16.527   1.171
 3234   299  16.620   1.131
 3235   298  14.785   1.023
 3235   299  15.002   1.036
 3236   298  15.065   0.954
 3236   299  15.179   0.989
 3238   298  14.701   0.904
 3238   299  14.808   0.930
 3239   298  15.687   1.053
 3239   299  15.803   1.066
 3240   298  14.063   0.984
 3240   299  14.122   0.988
 3242   298  15.264   0.788
 3242   299  15.481   0.917
 3244   298  16.437   0.913
 3244   299  16.536   0.901
 3245   298  16.054   0.860
 3245   299  16.197   0.888
 3247   298  16.087   1.245
 3247   299  16.189   1.270
 3249   298  15.313   0.801
 3249   299  15.422   0.831
 3250   298  16.286   0.968
 3250   299  16.397   0.992
 3252   298  15.580   0.892
 3252   299  15.693   0.909
 3253   298  15.961   1.704
 3253   299  16.063   1.695
 3254   298  16.675   1.046
 3254   299  16.788   1.043
 3255   298  16.740   1.107
 3255   299  16.849   1.107
 3256   298  15.817   1.295
 3256   299  15.951   1.294
 3257   298  16.602   1.070
 3257   299  16.719   1.083
 3259   298  15.001   0.967
 3259   299  15.114   0.976
 3260   298  16.564   0.873
 3260   299  16.710   0.906
 3262   298  14.545   1.125
 3262   299  14.698   1.140
 3263   298  16.281   0.901
 3263   299  16.414   0.994
 3264   298  15.483   0.843
 3265   298  16.059   1.566
 3266   298  18.495   2.656
 3267   298  16.315   1.897
 3268   298  15.882   1.559
 3269   298  18.246   2.389
 3269   498  18.350   2.420
 3270   298  19.650   2.849
 3270   498  19.760   2.870
 3271   298  18.218   2.381
 3272   298  17.902   2.098
 3273   298  14.371   1.147
 3274   298  18.965   2.479
 3275   298  20.029   2.840
 3275   498  20.320   3.050
 3276   298  19.181   2.795
 3277   298  18.764   2.803
 3277   498  18.740   2.730
 3278   298  18.438   2.441
 3279   298  19.775   2.715
 3280   298  19.930   2.859
 3281   298  16.018   1.593
 3282   298  18.272   2.396
 3282   498  18.420   2.460
 3283   298  15.309   1.300
 3284   298  18.479   2.293
 3285   298  17.406   1.893
 3286   298  14.640   1.077
 3287   298  19.145   2.620
 3287   498  19.360   2.800
 3288   298  17.072   1.779
 3289   298  18.283   2.406
 3289   498  18.280   2.380
 3290   298  14.802   1.294
 3291   298  16.792   1.753
 3292   298  17.928   2.285
 3293   298  13.353   0.901
 3294   298  15.784   1.616
 3295   298  14.999   1.265
 3296   298  14.633   1.146
 3297   298  14.962   1.384
 3298   298  15.872   1.477
 3299   298  21.167   3.238
 3300   298  18.733   2.505
 3301   298  15.576   1.398
 3302   298  15.455   1.285
 3303   298  16.819   2.099
 3304   298  13.349   0.851
 3305   298  11.025   0.380
 3306   298  18.793   2.464
 3307   298  14.144   1.102
 3308   298  15.263   1.339
 3309   298  15.353   1.332
 3310   298  16.097   1.686
 3311   298  14.335   0.991
 3312   298  16.258   1.689
 3313   298  19.151   2.640
 3314   298  15.553   1.390
 3315   298  14.722   1.173
 3316   298  14.087   1.002
 3317   298  18.157   2.371
 3318   298  19.166   2.611
 3319   298  15.462   1.215
 3320   298  19.034   2.631
 3320   498  19.120   2.690
 3321   298  14.683   1.185
 3322   298  15.007   1.331
 3323   298  12.701   0.843
 3324   298  20.186   2.862
 3325   298  20.137   2.924
 3326   298  19.019   2.609
 3327   298  14.319   0.961
 3328   298  13.869   0.930
 3329   298  13.260   0.892
 3330   298  18.771   2.403
 3331   298  20.248   3.274
 3331   498  20.270   3.190
 3332   298  15.388   1.277
 3333   298  15.484   1.280
 3334   298  16.862   1.888
 3334   498  16.980   1.980
 3335   298  15.898   1.525
 3336   298  19.771   2.936
 3337   298  18.667   2.729
 3338   298  16.140   1.906
 3339   298  15.645   1.426
 3340   298  13.184   0.962
 3341   298  15.129   1.164
 3342   298  19.551   2.731
 3343   298  20.101   2.968
 3344   298  19.217   2.600
 3344   498  19.400   2.750
 3345   298  15.508   1.363
 3346   298  20.080   3.053
 3347   298  17.513   2.175
 3347   498  17.580   2.210
 3348   298  17.135   1.955
 3349   298  17.696   2.431
 3350   298  18.503   2.497
 3350   498  18.680   2.570
 3351   298  19.337   2.557
 3352   298  11.980   0.742
 3353   298  19.536   2.793
 3354   298  17.701   2.427
 3355   298  14.440   1.120
 3356   298  20.060   2.794
 3356   498  20.450   3.080
 3357   298  17.203   1.920
 3358   298  12.011   0.828
 3359   298  17.044   2.071
 3360   298  18.288   2.273
 3361   298  19.305   2.668
 3362   298  17.239   2.011
 3363   298  19.035   2.677
 3363   498  19.180   2.770
 3364   298  18.338   2.355
 3364   498  18.320   2.530
 3365   298  16.329   1.658
 3366   298  15.931   1.657
 3367   298  15.685   1.408
 3368   298  15.997   1.601
 3368   498  15.820   1.270
 3369   298  16.009   1.521
 3370   298  14.151   1.063
 3371   298  13.435   0.918
 3372   298  20.109   3.033
 3373   298  21.356   3.318
 3374   298  18.202   2.293
 3374   498  18.320   2.370
 3375   298  15.274   1.249
 3376   298  20.029   2.918
 3377   298  18.669   2.770
 3378   298  14.895   1.210
 3379   298  20.265   2.897
 3380   298  18.264   2.474
 3381   298  14.460   1.195
 3382   298  16.310   1.512
 3382   498  16.310   1.480
 3383   298  17.076   1.909
 3384   298  18.365   2.572
 3385   298  15.885   1.478
 3386   298  17.137   1.957
 3388   298  19.390   2.617
 3389   298  19.024   2.641
 3390   298  14.182   1.013
 3391   298  18.462   2.431
 3392   298  17.187   1.852
 3393   298  19.062   2.637
 3394   298  18.009   2.576
 3395   298  19.883   2.819
 3396   298  19.818   2.785
 3397   298  14.487   1.248
 3398   298  17.328   2.003
 3398   498  17.520   2.100
 3399   298  15.545   1.251
 3400   298  17.239   1.967
 3401   298  19.249   2.534
 3402   298  20.036   3.101
 3403   298  19.578   2.767
 3403   498  19.720   2.840
 3404   298  16.800   2.120
 3404   498  16.890   2.130
 3405   298  15.971   1.545
 3406   298  17.670   2.424
 3407   298  20.348   3.275
 3408   298  17.180   2.037
 3409   298  17.889   2.340
 3410   298  19.582   2.824
 3411   298  14.988   1.225
 3412   298  15.994   1.613
 3413   298  15.015   1.392
 3414   298  18.916   2.693
 3415   298   9.623   0.139
 3416   298  18.389   2.425
 3416   498  18.560   2.500
 3417   298  16.175   1.608
 3417   498  15.970   1.420
 3418   298  14.429   1.220
 3419   298  15.765   1.379
 3420   298  20.822   3.052
 3421   298  14.477   1.113
 3422   298  17.223   2.270
 3423   298  19.115   2.642
 3424   298  14.907   1.213
 3425   298  17.809   2.172
 3426   298  16.913   1.900
 3427   298  18.978   2.470
 3428   298  19.003   2.674
 3429   298  17.413   2.063
 3429   498  17.580   2.140
 3430   298  16.032   1.629
 3431   298  18.841   2.617
 3431   498  18.930   2.630
 3432   298  17.822   2.209
 3432   498  17.900   2.240
 3433   298  15.127   1.384
 3434   298  19.407   2.747
 3435   298  18.698   2.509
 3436   298  17.970   2.226
 3437   298  13.504   0.882
 3438   298  17.289   2.100
 3439   298  19.431   2.697
 3440   298  19.876   2.922
 3440   498  20.010   2.930
 3441   298  19.392   2.889
 3442   298  16.589   1.734
 3443   298  19.719   3.051
 3444   298  18.945   2.488
 3445   298  19.460   2.818
 3446   298  16.756   1.933
 3447   298  19.424   2.729
 3447   498  19.600   2.820
 3448   298  20.837   3.381
 3449   298  19.080   2.622
 3450   298  19.476   2.756
 3451   298  18.642   2.470
 3452   298  19.997   2.899
 3453   298  17.077   1.859
 3454   298  20.395   2.981
 3455   298  17.783   2.467
 3456   298  17.820   2.177
 3456   498  17.860   2.250
 3457   298  16.695   2.044
 3458   298  19.240   2.719
 3458   498  19.560   2.830
 3459   298  18.453   2.537
 3459   498  18.550   2.620
 3460   298  20.254   2.964
 3461   298  18.518   2.415
 3462   298  19.761   2.954
 3463   298  18.213   2.328
 3463   498  18.210   2.410
 3464   298  19.611   2.640
 3465   298  19.520   2.750
 3466   298  18.776   2.378
 3467   298  17.848   2.167
 3467   498  18.040   2.250
 3468   298  15.071   1.310
 3469   298  18.865   2.785
 3470   298  19.668   2.806
 3470   498  19.740   2.860
 3471   298  14.284   1.160
 3472   298  15.277   1.459
 3473   298  19.544   2.748
 3474   298  17.320   1.969
 3475   298  16.725   1.778
 3475   498  16.830   1.730
 3476   298  17.878   2.232
 3476   498  17.990   2.310
 3477   298  15.514   1.328
 3478   298  20.667   2.957
 3479   298  19.028   2.552
 3480   298  20.534   3.259
 3481   298  17.391   2.044
 3482   298  17.743   2.172
 3483   298  15.329   1.332
 3484   298  17.843   2.087
 3485   298  19.554   2.742
 3485   498  20.050   2.980
 3486   298  19.875   2.730
 3487   298  14.549   1.068
 3488   298  14.676   1.135
 3489   298  15.828   1.446
 3490   298  18.684   2.415
 3491   298  20.466   3.141
 3492   298  15.313   1.464
 3493   298  20.507   2.984
 3494   298  14.652   1.291
 3495   298  17.917   2.263
 3496   298  14.743   1.153
 3497   298  18.260   2.447
 3498   298  21.073   3.125
 3499   298  19.089   2.692
 3500   298  16.271   1.893
 3501   298  12.708   0.761
 3502   298  19.873   2.866
 3503   298  19.893   2.720
 3504   298  18.609   2.351
 3505   298  19.975   3.014
 3506   298  16.972   1.867
 3507   298  20.368   2.895
 3508   298  18.885   2.471
 3509   298  12.950   0.778
 3510   298  18.983   2.735
 3511   298  15.731   1.391
 3512   298  19.785   3.071
 3513   298  19.838   2.954
 3514   298  15.057   1.259
 3515   298  17.238   1.909
 3516   298  18.477   2.633
 3517   298  18.739   2.531
 3518   298  17.420   1.946
 3519   298  15.753   1.446
 3520   298  20.005   3.113
 3521   298  15.220   1.313
 3522   298  19.115   2.484
 3523   298  16.713   1.975
 3524   298  15.505   1.314
 3525   298  14.737   1.160
 3526   298  16.279   1.595
 3527   298  17.063   1.850
 3528   298  15.923   1.480
 3529   298  17.316   2.141
 3530   298  17.517   2.182
 3531   298  20.055   3.144
 3532   298  17.921   2.130
 3533   298  17.183   2.022
 3534   298  15.819   1.523
 3535   298  19.029   2.652
 3536   298  16.764   1.871
 3537   298  17.943   2.186
 3538   298  21.161   3.413
 3539   298  19.661   2.964
 3540   298  18.981   2.470
 3542   298  20.302   3.205
 3543   298  17.741   2.168
 3544   298  18.931   2.568
 3544   498  18.970   2.640
 3545   298  20.693   3.361
 3546   298  14.492   1.214
 3547   298  16.206   1.830
 3548   298  15.185   1.196
 3549   298  17.837   2.267
 3549   498  17.750   2.090
 3550   298  19.668   2.748
 3550   498  19.910   2.940
 3551   298  20.490   2.938
 3552   298  19.564   2.835
 3553   298  17.917   2.179
 3554   298  18.156   2.180
 3555   298  13.814   0.980
 3556   298  19.858   2.795
 3557   298  18.503   2.526
 3558   298  19.245   2.884
 3559   298  17.449   2.101
 3559   498  17.900   2.400
 3560   298  18.385   2.357
 3561   298  17.367   2.218
 3562   298  18.438   2.374
 3563   298  20.164   3.155
 3564   298  19.411   2.572
 3565   298  16.380   1.826
 3566   298  20.774   3.142
 3567   298  20.291   2.955
 3568   298  14.640   1.188
 3569   298  17.065   2.121
 3570   298  18.632   2.468
 3571   298  13.789   0.855
 3573   298  18.437   2.385
 3574   298  17.670   2.103
 3574   498  17.830   2.220
 3575   298  19.043   2.529
 3576   298  20.739   3.128
 3577   298  19.239   2.636
 3577   498  19.420   2.750
 3578   298  17.275   2.127
 3579   298  19.884   2.869
 3580   298  19.270   2.784
 3581   298  18.459   2.464
 3582   298  19.783   2.793
 3583   298  19.698   2.661
 3584   298  20.150   3.073
 3585   298  12.305   0.592
 3586   298  17.498   2.043
 3587   298  18.952   2.527
 3588   298  13.141   0.834
 3589   298  18.466   2.528
 3590   298  19.942   2.706
 3591   298  20.574   2.978
 3592   298  17.135   1.954
 3593   298  18.702   2.488
 3594   298  20.510   3.131
 3595   298  14.613   1.206
 3596   298  20.316   2.828
 3597   298  20.675   3.086
 3598   298  19.049   2.574
 3599   298  17.552   2.057
 3600   298  18.720   2.481
 3601   298  18.906   2.531
 3601   498  19.030   2.630
 3602   298  18.726   2.493
 3603   298  18.353   2.376
 3604   298  20.711   3.148
 3605   298  19.493   2.611
 3606   298  18.227   2.286
 3607   298  18.359   2.290
 3608   298  18.934   2.726
 3609   298  18.855   2.496
 3610   298  20.029   2.839
 3611   298  19.616   2.779
 3612   298  19.030   2.647
 3613   298  19.748   3.005
 3614   298  17.287   2.147
 3615   298  19.306   2.663
 3616   298  17.068   1.913
 3617   298  17.438   1.950
 3618   298  17.316   2.006
 3618   498  17.360   1.940
 3619   298  18.035   2.243
 3620   298  20.788   2.961
 3621   298  14.319   0.972
 3622   298  17.824   2.286
 3623   298  20.554   3.178
 3624   298  12.480   0.680
 3625   298  20.192   3.096
 3626   298  17.406   2.021
 3627   298  13.481   0.976
 3628   298  18.963   2.534
 3629   298  14.472   1.220
 3630   298  18.837   2.540
 3630   498  18.960   2.610
 3631   298  19.636   2.786
 3633   298  19.655   2.927
 3633   498  19.850   3.020
 3634   298  20.124   3.156
 3635   298  19.502   2.985
 3636   298  15.033   1.142
 3637   298  19.655   2.843
 3637   498  19.660   2.780
 3638   298  19.809   2.713
 3639   298  20.761   3.265
 3640   298  21.043   3.063
 3641   298  20.877   3.053
 3642   298  17.926   2.169
 3643   298  16.996   2.009
 3644   298  20.010   2.831
 3645   298  19.607   2.879
 3646   298  15.231   1.345
 3647   298  15.137   1.231
 3648   298  20.569   2.894
 3649   298  13.330   0.839
 3650   298  19.579   3.074
 3651   298  17.878   2.160
 3652   298  14.271   1.172
 3653   298  18.767   2.380
 3654   298  18.107   2.420
 3655   298  13.852   0.995
 3656   298  18.623   2.470
 3656   498  18.870   2.640
 3657   298  19.110   2.481
 3658   298  16.575   1.729
 3659   298  18.397   2.371
 3660   298  14.136   0.985
 3661   298  19.716   2.706
 3662   298  15.780   1.436
 3663   298  18.458   2.341
 3664   298  20.212   2.968
 3665   298  18.463   2.327
 3666   298  12.151   0.766
 3667   298  21.234   3.231
 3668   298  20.197   2.927
 3669   298  20.937   3.170
 3670   298  16.564   1.689
 3671   298  18.809   2.522
 3672   298  17.589   2.031
 3673   298  19.891   2.987
 3674   298  20.864   3.061
 3675   298  18.596   2.710
 3676   298  17.645   2.169
 3677   298  14.951   1.185
 3678   298  19.340   2.721
 3679   298  19.949   3.189
 3680   298  19.866   2.731
 3681   298  17.301   2.020
 3682   298  19.175   2.858
 3683   298  19.032   2.463
 3683   498  19.280   2.680
 3684   298  19.629   2.834
 3685   298  16.009   1.543
 3686   298  20.509   2.938
 3686   498  20.760   3.160
 3687   298  20.505   2.973
 3688   298  19.442   3.007
 3689   298  19.752   2.752
 3690   298  19.745   2.752
 3691   298  19.358   2.716
 3692   298  18.425   2.599
 3693   298  15.132   1.340
 3694   298  19.422   2.665
 3695   298  20.290   2.966
 3696   298  18.142   2.357
 3697   298  19.088   2.748
 3698   298  20.532   2.997
 3699   298  17.394   2.080
 3700   298  18.058   2.183
 3701   298  14.718   1.156
 3702   298  13.984   1.047
 3703   298  19.031   2.479
 3704   298  20.334   2.981
 3705   298  14.165   1.071
 3706   298  13.968   1.108
 3707   298  18.357   2.367
 3708   298  19.881   2.789
 3708   498  20.290   3.110
 3709   298  18.471   2.602
 3710   298  18.731   2.436
 3711   298  20.044   2.742
 3712   298  19.202   2.517
 3713   298  14.942   1.340
 3714   298  18.908   2.432
 3715   298  16.058   1.591
 3716   298  17.658   2.247
 3717   298  17.862   2.498
 3718   298  19.796   2.937
 3719   298  14.509   1.136
 3720   298  18.703   2.471
 3721   298  20.224   3.028
 3722   298  17.950   2.220
 3723   298  18.664   2.462
 3724   298  20.185   2.948
 3725   298  20.127   3.106
 3726   298  20.218   3.263
 3727   298  20.250   3.182
 3728   298  19.565   2.643
 3729   298  17.875   2.425
 3730   298  20.135   2.835
 3731   298  19.554   2.618
 3732   298  18.569   2.354
 3733   298  18.957   2.736
 3734   298  20.620   3.008
 3735   298  11.216   0.451
 3736   298  16.280   1.635
 3737   249  17.800   2.130
 3737   298  17.800   2.126
 3738   298  16.556   1.946
 3739   298  18.702   2.568
 3740   298  17.771   2.120
 3741   298  17.873   2.166
 3742   298  17.322   2.004
 3743   298  18.357   2.325
 3744   298  19.008   2.648
 3745   298  20.392   2.879
 3746   298  19.713   2.866
 3747   298  19.648   2.692
 3747   498  19.830   2.830
 3748   298  20.348   3.180
 3749   298  21.467   3.276
 3750   298  20.208   2.981
 3751   298  20.000   2.949
 3751   498  20.010   2.930
 3752   298  18.543   2.349
 3753   249  17.170   1.910
 3753   298  17.169   1.907
 3754   298  19.279   2.658
 3755   298  20.296   3.115
 3756   298  15.662   1.740
 3757   298  17.781   2.487
 3757   498  17.940   2.590
 3758   298  15.101   1.166
 3759   298  19.465   2.648
 3760   298  20.861   3.317
 3762   298  20.956   3.201
 3763   298  19.632   2.615
 3764   298  18.829   2.386
 3765   298  18.687   2.381
 3766   298  17.360   2.279
 3767   298  13.707   1.061
 3768   298  17.567   2.412
 3769   298  19.128   2.508
 3770   298  20.158   2.964
 3771   298  17.262   1.892
 3772   298  15.220   1.281
 3773   298  20.802   3.163
 3774   298  20.527   2.912
 3775   298  21.010   3.168
 3776   298  20.033   3.085
 3777   298  18.862   2.514
 3778   298  13.964   0.944
 3779   298  20.417   3.060
 3780   298  15.290   1.246
 3781   298  18.451   2.664
 3782   298  18.401   2.418
 3783   298  19.414   2.759
 3784   298  18.936   2.574
 3785   298  18.214   2.617
 3786   298  16.119   1.637
 3787   298  17.463   2.038
 3787   498  17.520   2.140
 3788   298  20.251   3.074
 3789   298  14.120   1.141
 3790   298  19.980   3.110
 3791   298  13.173   0.835
 3792   298  19.740   2.679
 3793   298  16.457   1.622
 3794   298  19.639   2.713
 3795   298  15.102   1.200
 3796   298  13.651   0.868
 3797   298  15.404   1.310
 3798   298  14.119   1.111
 3799   298  17.870   2.306
 3800   298  15.842   1.539
 3801   298  19.600   2.639
 3801   498  19.980   2.890
 3802   298  18.870   2.492
 3803   298  18.636   2.417
 3804   298  17.528   1.974
 3805   298  18.567   2.630
 3806   298  17.242   2.239
 3807   298  17.544   2.363
 3808   298  20.699   2.972
 3809   298  17.486   1.989
 3810   298  20.279   2.995
 3811   298  21.486   3.348
 3812   298  21.035   3.430
 3813   298  19.193   2.589
 3814   298  18.328   2.267
 3815   298  20.123   2.838
 3816   298  15.077   1.163
 3817   298  20.986   3.191
 3818   298  17.015   1.874
 3818   498  17.180   2.000
 3819   298  18.735   2.475
 3820   298  17.733   2.123
 3821   298  18.137   2.449
 3822   298  17.686   2.096
 3823   298  20.725   2.961
 3824   298  17.859   2.263
 3825   298  19.140   2.871
 3826   298  18.489   2.476
 3827   298  17.017   1.782
 3828   298  19.802   2.899
 3829   298  18.239   2.522
 3829   498  18.350   2.530
 3830   298  17.757   2.353
 3831   298  15.461   1.237
 3832   298  17.896   2.222
 3833   298  15.309   1.286
 3834   298  19.167   2.858
 3835   298  20.698   3.355
 3836   249  17.180   1.930
 3836   298  17.183   1.930
 3836   498  17.130   1.890
 3837   298  17.441   2.164
 3837   498  17.590   2.260
 3838   298  18.463   2.344
 3839   298  19.089   2.804
 3841   298  19.899   3.014
 3841   498  20.110   3.180
 3842   298  17.617   2.042
 3843   298  19.624   2.704
 3844   298  19.378   3.064
 3845   298  14.632   1.223
 3846   298  18.395   2.249
 3847   298  20.556   3.386
 3848   298  19.611   2.723
 3849   298  19.434   2.784
 3850   298  19.981   3.002
 3851   298  17.395   2.216
 3852   298  18.516   2.420
 3853   298  15.577   1.289
 3854   298  18.098   2.291
 3855   298  19.661   2.971
 3855   498  19.780   3.090
 3856   298  17.516   2.082
 3856   498  17.650   2.250
 3857   298  15.867   1.377
 3858   298  15.723   1.586
 3859   298  20.229   2.829
 3860   298  19.077   2.594
 3861   298  17.633   2.065
 3861   498  17.610   2.110
 3862   298  20.110   3.179
 3863   298  20.362   3.051
 3864   298  20.025   2.872
 3865   298  13.944   1.106
 3866   298  20.008   2.856
 3867   298  17.771   2.378
 3868   298  20.237   2.920
 3869   298  17.707   2.324
 3870   298  21.532   3.552
 3871   298  19.947   2.811
 3872   298  19.283   2.881
 3873   298  18.148   2.269
 3874   298  21.256   3.360
 3875   298  19.109   2.655
 3876   298  18.066   2.253
 3876   498  18.060   2.330
 3877   298  19.816   2.749
 3878   298  17.699   2.308
 3879   298  19.293   2.518
 3880   298  20.733   3.021
 3881   298  14.825   1.113
 3882   298  19.936   2.819
 3883   298  17.410   2.006
 3883   498  17.540   2.150
 3884   298  20.278   3.026
 3885   298  16.979   2.124
 3886   298  17.442   2.261
 3887   298  20.115   2.796
 3887   498  20.470   3.140
 3888   298  18.973   2.738
 3889   298  20.920   3.028
 3890   298  20.039   3.053
 3890   498  20.010   2.890
 3892   298  19.143   2.686
 3892   498  19.270   2.820
 3893   298  19.169   2.607
 3894   298  17.845   2.249
 3894   498  17.890   2.350
 3895   298  18.374   2.327
 3897   298  13.686   0.872
 3898   298  18.158   2.350
 3899   298  14.308   1.118
 3900   298  15.556   1.302
 3901   298  15.315   1.178
 3902   298  19.429   2.680
 3903   298  16.349   1.851
 3904   298  16.336   1.574
 3905   298  18.087   2.436
 3906   298  18.808   2.509
 3906   498  18.940   2.630
 3907   298  17.354   2.040
 3908   298  14.756   1.348
 3909   298  19.946   2.706
 3910   298  19.653   2.710
 3910   498  19.860   2.940
 3911   298  20.824   3.422
 3912   298  20.089   2.891
 3912   498  20.200   2.970
 3913   298  18.141   2.382
 3913   498  18.250   2.470
 3914   298  19.155   2.557
 3915   298  17.736   2.271
 3916   298  18.917   2.699
 3917   298  19.377   2.594
 3918   298  17.868   2.153
 3919   298  20.303   3.090
 3920   298  19.069   2.555
 3921   298  15.321   1.459
 3922   298  18.584   2.483
 3923   298  20.390   3.174
 3924   298  16.190   1.774
 3925   298  18.206   2.192
 3926   298  13.592   0.901
 3927   298  14.425   1.229
 3928   298  19.311   3.025
 3929   298  19.469   2.649
 3930   298  20.312   3.032
 3930   498  20.340   3.080
 3931   298  18.740   2.438
 3931   498  18.750   2.400
 3932   298  19.568   2.953
 3932   498  19.610   3.030
 3933   298  19.447   2.613
 3934   298  19.811   2.692
 3934   498  20.130   3.000
 3935   298  20.471   2.873
 3936   298  20.754   3.015
 3937   298  14.684   1.302
 3938   298  19.293   2.624
 3939   298  20.176   2.962
 3939   498  20.190   2.940
 3940   298  18.304   2.474
 3940   498  18.360   2.450
 3941   298  16.248   1.593
 3942   298  18.394   2.411
 3942   498  18.690   2.580
 3943   298  16.561   2.015
 3943   498  16.470   1.910
 3944   298  19.888   2.849
 3945   298  20.651   3.101
 3945   498  20.860   3.290
 3946   298  14.507   1.135
 3947   298  19.534   2.701
 3948   298  19.631   2.777
 3948   498  19.780   2.880
 3949   298  19.955   2.984
 3950   298  15.487   1.377
 3951   298  17.275   1.971
 3951   498  17.450   2.130
 3952   298  16.668   2.134
 3953   298  18.011   2.209
 3953   498  18.100   2.230
 3954   298  17.664   2.184
 3955   298  15.391   1.328
 3956   298  17.002   2.047
 3957   298  19.030   2.471
 3958   298  17.474   2.079
 3958   498  17.490   2.100
 3959   298  18.951   2.650
 3959   498  18.980   2.640
 3960   298  17.825   2.249
 3961   298  17.264   1.934
 3962   298  19.756   2.993
 3963   298  13.541   0.905
 3964   298  13.538   0.909
 3965   298  19.549   2.695
 3966   298  12.972   0.796
 3967   298  17.696   2.153
 3969   298  17.316   2.107
 3969   498  17.470   2.180
 3970   298  18.738   2.417
 3971   298  20.724   3.045
 3972   298  19.378   2.640
 3972   498  19.740   2.880
 3973   298  15.072   1.319
 3974   298  14.834   1.112
 3975   298  17.076   2.268
 3976   298  20.679   3.040
 3977   298  18.684   2.435
 3978   298  10.769   0.590
 3979   298  21.259   3.332
 3980   298  18.357   2.288
 3981   298  18.693   2.438
 3982   298  12.779   0.859
 3983   298  20.703   3.246
 3984   298  15.229   1.269
 3985   298  19.836   3.107
 3985   498  19.990   3.150
 3986   298  15.999   1.818
 3987   298  15.499   1.300
 3988   298  19.091   2.716
 3989   298  18.960   2.636
 3989   498  19.050   2.680
 3990   298  19.778   2.698
 3990   498  20.260   3.050
 3991   298  19.529   2.971
 3992   298  17.586   2.282
 3993   298  15.925   1.593
 3994   298  16.941   2.059
 3995   298  17.160   1.968
 3996   298  21.147   3.351
 3997   298  19.540   2.723
 3997   498  19.740   2.830
 3998   298  19.284   2.617
 3998   498  19.480   2.750
 3999   298  16.163   1.518
 4000   298  15.286   1.376
 4001   298  18.893   2.818
 4002   298  17.323   1.947
 4003   298  17.229   2.195
 4003   498  17.380   2.260
 4004   298  14.303   0.960
 4005   298  13.693   1.078
 4006   298  17.769   2.319
 4006   498  17.930   2.460
 4007   298  14.921   1.429
 4008   298  12.121   0.672
 4009   298  20.031   2.782
 4010   298  19.836   2.845
 4010   498  20.030   2.950
 4011   298  19.392   2.813
 4011   498  19.520   2.860
 4012   298  14.501   1.163
 4013   298  19.335   2.727
 4014   298  14.796   1.148
 4015   298  19.434   2.614
 4016   298  17.688   2.075
 4017   298  18.563   2.413
 4018   298  17.028   2.035
 4019   298  17.808   2.112
 4019   498  18.030   2.210
 4020   298  18.756   2.455
 4020   498  18.930   2.590
 4021   298  15.620   1.440
 4022   298  21.596   3.212
 4023   298  20.916   3.446
 4023   498  20.820   3.200
 4024   298  20.490   2.883
 4024   498  20.840   3.210
 4025   298  14.584   1.260
 4026   298  18.001   2.250
 4026   498  18.180   2.350
 4027   298  18.433   2.436
 4028   298  20.223   2.902
 4029   298  17.072   1.883
 4030   298  20.052   2.739
 4031   298  14.705   1.173
 4032   298  18.737   2.470
 4032   498  18.950   2.640
 4033   298  14.613   1.170
 4034   298  14.719   1.135
 4035   298  17.568   1.956
 4036   298  11.764   0.790
 4037   298  19.270   2.572
 4038   298  19.095   2.929
 4039   298  14.669   1.350
 4040   298  19.465   2.674
 4041   298  19.265   2.755
 4042   298  19.307   2.892
 4043   298  17.627   2.136
 4044   298  20.482   2.881
 4045   298  13.316   0.905
 4046   298  12.755   0.795
 4047   298  16.598   1.763
 4048   298  17.322   2.271
 4048   498  17.460   2.340
 4049   298  14.907   1.213
 4050   298  16.019   1.527
 4051   298  19.386   2.741
 4052   298  16.382   1.662
 4052   498  16.650   1.830
 4053   298  14.345   1.086
 4054   298  19.992   2.816
 4055   298  18.898   2.552
 4055   498  19.010   2.620
 4056   298  19.804   2.707
 4057   298  17.362   2.347
 4058   298  16.162   1.598
 4059   298  15.019   1.445
 4060   298  15.803   1.458
 4061   298  19.289   2.909
 4061   498  19.410   2.890
 4062   298  20.312   2.955
 4063   298  20.176   2.977
 4064   298  17.055   2.193
 4064   498  17.000   2.010
 4065   298  10.821   0.340
 4066   298  17.811   2.298
 4066   498  17.840   2.310
 4067   298  13.242   0.808
