# VI-Cousins CCD observations
#  No    Ref    V       V-I
 0600   298  19.033   2.369
 0601   213  16.899   1.810
 0601   298  16.964   1.888
 0601   498  16.940   1.800
 0602   213  18.431   2.386
 0602   298  18.449   2.371
 0602   498  18.620   2.520
 0603   213  19.298   2.604
 0603   298  19.352   2.640
 0603   498  19.460   2.760
 0604   213  20.427   3.057
 0604   298  20.515   3.135
 0605   213  19.255   2.680
 0605   298  19.103   2.562
 0606   213  21.155   3.147
 0607   213  17.550   2.289
 0607   298  17.531   2.248
 0608   213  20.162   3.168
 0608   298  20.052   3.016
 0608   498  20.220   3.140
 0609   213  17.369   1.958
 0609   298  17.384   1.991
 0609   498  17.440   2.010
 0610   213  17.776   2.139
 0610   298  17.851   2.167
 0611   213  20.112   2.883
 0611   298  20.088   2.917
 0611   498  20.240   3.010
 0612   213  16.949   1.845
 0612   298  17.023   1.879
 0612   498  17.060   1.920
 0613   213  20.652   3.122
 0615   213  16.214   1.580
 0615   298  16.290   1.597
 0615   299  16.331   1.590
 0616   213  15.407   1.437
 0616   298  15.475   1.311
 0616   299  15.503   1.342
 0617   213  18.134   2.061
 0617   298  18.145   2.035
 0618   213  19.184   2.622
 0618   298  19.212   2.658
 0619   213  20.510   2.972
 0619   498  20.670   3.070
 0620   213  14.853   1.139
 0620   298  14.861   1.152
 0620   299  14.913   1.167
 0622   213  18.695   2.586
 0622   298  18.517   2.445
 0622   498  18.790   2.690
 0623   213  15.096   1.207
 0623   298  15.114   1.239
 0623   299  15.134   1.242
 0624   213  21.147   3.335
 0625   213  19.741   2.830
 0625   298  19.907   2.985
 0625   498  19.850   2.930
 0626   213  19.123   2.923
 0626   298  19.095   2.875
 0626   498  19.210   2.930
 0629   213  17.361   1.988
 0629   298  17.389   2.011
 0629   498  17.480   2.080
 0630   213  19.581   2.663
 0630   298  19.516   2.577
 0631   213  17.731   2.152
 0631   298  17.736   2.152
 0631   498  17.740   2.190
 0633   213  17.731   2.136
 0633   298  17.781   2.169
 0634   213  20.473   3.049
 0634   298  20.389   2.991
 0634   498  20.500   3.060
 0635   213  19.776   3.030
 0635   298  19.621   2.866
 0635   498  19.880   3.110
 0637   213  14.765   1.111
 0637   298  14.821   1.164
 0639   213  20.518   3.059
 0639   298  20.558   3.120
 0640   213  17.901   2.175
 0640   298  17.751   2.086
 0640   498  17.970   2.240
 0641   213  21.408   3.305
 0642   213  19.955   3.203
 0642   298  20.038   3.298
 0643   213  19.423   2.940
 0643   298  19.310   2.815
 0644   213  15.750   1.428
 0644   298  15.703   1.619
 0646   213  19.539   2.730
 0646   298  19.579   2.765
 0647   213  15.330   1.117
 0647   298  15.314   1.124
 0647   299  15.334   1.143
 0648   213  15.112   1.081
 0648   298  15.167   1.126
 0648   299  15.159   1.124
 0649   213  18.135   2.052
 0649   298  18.146   2.090
 0650   213  14.942   0.886
 0650   298  14.979   0.916
 0651   213  14.849   0.985
 0651   298  14.854   1.011
 0651   299  14.880   1.037
